Title,Author,Summary,URL
"Scrutinizing SpaceX, NASA Overlooked Some Boeing Software Problems",Kenneth Chang,The agency identified the causes of mishaps in orbit during an uncrewed test flight of its Starliner spacecraft in December.,https://www.nytimes.com/topic/subject/space-and-cosmos/2020/07/07/science/boeing-starliner-nasa.html
Could You Make a Snowball of Neutrinos?,Randall Munroe,"You’ll need more than a few — say, 300 decillion. And good luck trying to throw it.",https://www.nytimes.com/topic/subject/space-and-cosmos/2020/07/07/science/neutrinos-snowball-randall-munroe.html
Last Testament of Maurice the Rooster,Roger Cohen,Cultivate your garden. That never disappoints.,https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/26/opinion/maurice-rooster-france.html
Two Black Holes Colliding Not Enough? Make It Three,Dennis Overbye,"Astronomers claim to have seen a flash from the merger of two black holes within the maelstrom of a third, far bigger one.",https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/25/science/black-hole-collision-ligo.html
A Black Hole’s Lunch Provides a Treat for Astronomers,Dennis Overbye,"Scientists have discovered the heaviest known neutron star, or maybe the lightest known black hole: “Either way it breaks a record.”",https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/24/science/black-hole-ligo-gravitational.html
Mars Is About to Have Its ‘Wright Brothers Moment’,Kenneth Chang,"As part of its next Mars mission, NASA is sending an experimental helicopter to fly through the red planet’s thin atmosphere.",https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/23/science/mars-helicopter-nasa.html
Small Worlds With Lava Oceans Might Have Given Us Meteorites,Jonathan O’Callaghan,Researchers propose a new model to explain the formation of most of the meteorites that make it to Earth.,https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/22/science/meteorites-chondrites-chondrules.html
Summer Solstice 2020 and the Search for Life in the Galaxy,Shannon Hall,"As you mark the longest day of the year, consider the debate among astronomers over whether Earth’s tilt toward the sun helps make life on our world and others possible.",https://www.nytimes.com/topic/subject/space-and-cosmos/article/summer-solstice-meaning-sunset.html
They Want to Sell Balloon Rides 19 Miles Up. Haven’t We Heard This Before?,Kenneth Chang,"Seven years ago, entrepreneurs planned trips to the stratosphere, but tourists never got off the ground. They’re trying again.",https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/18/science/space-balloon-trips.html
"Seeking Dark Matter, They Detected Another Mystery",Dennis Overbye,Do signals from beneath an Italian mountain herald a revolution in physics?,https://www.nytimes.com/topic/subject/space-and-cosmos/2020/06/17/science/xenon-axions-neutrinos-tritium.html
